event_id,user_id,event_name,timestamp,metadata
e_411,u_1080,logout,2025-11-03T22:03:18,{}
e_5293,u_1984,view_dashboard,2025-08-09T09:08:57,{}
e_2802,u_1513,like,2024-06-05T07:29:57,{}
e_3956,u_1731,start_project,2024-12-30T08:21:10,{}
e_4576,u_1851,onboarding_complete,2025-07-15T12:10:45,{}
e_643,u_1122,comment,2024-08-22T11:55:54,{}
e_5367,u_1999,activation,2025-02-07T16:22:47,{}
e_4897,u_1913,logout,2023-10-31T10:16:07,{}
e_1840,u_1334,view_dashboard,2025-09-18T16:02:34,{}
e_487,u_1094,view_item,2024-08-21T21:43:48,{}
e_2975,u_1544,view_item,2024-09-02T22:37:33,{}
e_3415,u_1633,view_item,2024-07-09T01:02:01,{}
e_1891,u_1346,activation,2024-04-01T15:25:38,{}
e_4371,u_1813,onboarding_complete,2023-12-27T11:11:18,{}
e_2754,u_1504,onboarding_complete,2024-02-25T20:52:30,{}
e_4904,u_1915,start_project,2023-11-25T10:32:46,{}
e_3934,u_1727,view_item,2025-03-26T11:52:18,{}
e_2058,u_1376,start_project,2024-05-18T04:33:43,{}
e_3278,u_1608,signup_success,2024-08-05T03:44:00,"{""source"": ""organic""}"
e_3816,u_1706,search,2025-01-22T04:40:19,{}
e_2595,u_1474,search,2025-08-20T13:49:47,{}
e_3382,u_1628,search,2025-08-23T10:09:50,{}
e_1695,u_1308,onboarding_complete,2024-03-18T14:13:03,{}
e_3758,u_1697,signup_success,2025-07-20T09:39:41,"{""source"": ""ads""}"
e_1685,u_1306,logout,2024-12-15T21:36:03,{}
e_4539,u_1842,onboarding_complete,2025-07-09T16:00:37,{}
e_2982,u_1546,view_dashboard,2025-07-24T09:04:56,{}
e_4548,u_1845,signup_success,2024-06-06T07:52:54,"{""source"": ""organic""}"
e_2418,u_1444,signup_success,2024-12-02T00:38:16,"{""source"": ""organic""}"
e_1243,u_1227,signup_success,2024-09-08T01:36:00,"{""source"": ""organic""}"
e_34,u_1007,onboarding_complete,2023-10-01T04:21:50,{}
e_3985,u_1736,logout,2024-05-11T01:00:23,{}
e_2228,u_1409,signup_success,2023-11-10T18:27:47,"{""source"": ""organic""}"
e_749,u_1139,view_dashboard,2025-12-05T15:50:55.397253,{}
e_3012,u_1553,onboarding_complete,2024-05-16T12:10:10,{}
e_280,u_1053,signup_success,2024-10-15T09:47:39,"{""source"": ""organic""}"
e_168,u_1032,signup_success,2024-03-15T02:40:48,"{""source"": ""organic""}"
e_5160,u_1958,view_dashboard,2025-02-16T18:20:15,{}
e_1085,u_1202,view_item,2024-01-22T13:37:52,{}
e_423,u_1083,like,2024-02-18T11:20:23,{}
e_2358,u_1433,search,2025-11-26T18:03:11,{}
e_965,u_1180,comment,2025-04-02T19:26:46,{}
e_472,u_1092,search,2025-03-20T23:12:10,{}
e_2988,u_1548,logout,2024-10-31T11:20:56,{}
e_2510,u_1460,like,2025-10-26T07:30:56,{}
e_4129,u_1764,conversion,2025-02-24T03:58:55,"{""ab_group"": ""A""}"
e_5213,u_1967,activation,2025-02-04T07:39:44,{}
e_469,u_1092,logout,2025-03-13T04:12:07,{}
e_4491,u_1831,onboarding_complete,2024-04-08T13:56:12,{}
e_427,u_1084,view_dashboard,2023-09-14T21:04:38,{}
e_241,u_1043,start_project,2023-11-15T19:56:31,{}
e_2776,u_1508,view_item,2025-01-01T00:11:59,{}
e_2032,u_1372,search,2024-04-09T07:41:35,{}
e_1539,u_1281,view_item,2025-08-14T18:04:53,{}
e_1336,u_1244,search,2024-03-29T07:34:00,{}
e_9,u_1002,like,2024-05-12T22:11:43,{}
e_3106,u_1573,view_dashboard,2024-11-06T01:32:34,{}
e_4750,u_1888,signup_success,2025-02-25T18:38:58,"{""source"": ""referral""}"
e_4396,u_1816,like,2025-04-18T03:49:11,{}
e_1002,u_1187,like,2024-07-23T09:26:11,{}
e_3419,u_1634,start_project,2024-09-25T20:34:41,{}
e_1056,u_1197,signup_success,2025-03-10T11:02:02,"{""source"": ""ads""}"
e_3221,u_1597,start_project,2024-08-03T13:43:40,{}
e_3590,u_1667,view_dashboard,2025-05-18T06:30:47,{}
e_4820,u_1900,view_item,2025-10-20T19:06:16,{}
e_2513,u_1460,view_dashboard,2025-11-08T15:34:17,{}
e_1868,u_1339,search,2024-05-10T07:50:00,{}
e_1213,u_1223,onboarding_complete,2024-09-13T21:38:46,{}
e_4747,u_1887,signup_success,2025-06-10T04:15:55,"{""source"": ""organic""}"
e_2998,u_1550,view_dashboard,2025-10-24T13:20:31,{}
e_85,u_1016,view_item,2025-10-19T03:03:48,{}
e_5282,u_1981,start_project,2024-06-04T17:44:43,{}
e_912,u_1170,onboarding_complete,2025-02-02T03:23:27,{}
e_1145,u_1212,start_project,2025-06-14T04:01:42,{}
e_402,u_1078,signup_success,2025-07-30T19:37:55,"{""source"": ""organic""}"
e_4358,u_1811,search,2024-01-02T22:12:38,{}
e_231,u_1041,view_dashboard,2025-08-13T13:27:04,{}
e_5337,u_1993,view_dashboard,2025-01-07T10:53:31,{}
e_2550,u_1467,search,2024-07-18T22:03:06,{}
e_1500,u_1275,comment,2025-02-04T18:20:20,{}
e_4937,u_1920,view_dashboard,2025-12-05T15:50:55.397253,{}
e_4060,u_1749,view_item,2024-01-22T08:41:05,{}
e_4708,u_1879,search,2023-12-29T03:07:34,{}
e_1504,u_1276,view_dashboard,2025-07-21T13:00:29,{}
